,alnum_ratio,char_rep_ratio,lang,lang_score,perplexity,text_len,word_rep_ratio
count,66260.0,66260.0,66260.0,66260.0,66260.0,66260.0,66260.0
mean,0.7739788691930297,0.0624670073451711,,0.8989632706319503,525.9992589797766,390.58982795049803,0.013538974623736804
std,0.0305212144900992,0.04726328987646764,,0.08855320374476783,2288.778218814206,231.59724281599642,0.06592652794336241
min,0.059907834101382486,0.0,,0.04927936568856239,2.4,34.0,0.0
25%,0.759581881533101,0.01749271137026239,,0.870826318860054,222.3,251.0,0.0
50%,0.7778346411918572,0.06811145510835913,,0.9229986369609833,324.3,340.0,0.0
75%,0.7937219730941704,0.09811320754716982,,0.9562072455883026,517.0,468.0,0.0
max,0.9850467289719627,0.8902777777777777,,0.999541163444519,330689.7,7378.0,0.918918918918919
unique,,,54.0,,,,
top,,,en,,,,
freq,,,65915.0,,,,
