,alnum_ratio,char_rep_ratio,lang,lang_score,perplexity,text_len,word_rep_ratio
count,66463.0,66463.0,66463.0,66463.0,66463.0,66463.0,66463.0
mean,0.8071503334851697,0.02185873571958788,,0.9538735518994528,2158.6142199419223,143.02243353444774,0.0041249469768407454
std,0.06805864605585053,0.04934916342407563,,0.1137963108520956,2108.8271210035546,101.76059297883467,0.04689713377805029
min,0.02353896103896104,0.0,,0.052148740738630295,4.7,15.0,0.0
25%,0.768,0.0,,0.9790375828742981,1276.05,89.0,0.0
50%,0.8125,0.0,,0.9941468238830566,1860.6,121.0,0.0
75%,0.8571428571428571,0.008733624454148471,,0.9979165196418762,2639.25,168.0,0.0
max,0.9948119325551232,0.9313868613138686,,1.0000590085983276,272747.2,3406.0,0.9896907216494846
unique,,,62.0,,,,
top,,,zh,,,,
freq,,,63572.0,,,,
