,alnum_ratio,char_rep_ratio,lang,lang_score,perplexity,text_len,word_rep_ratio
count,33548.0,33548.0,33548.0,33548.0,33548.0,33548.0,33548.0
mean,0.7868817258314589,0.07944958667905805,,0.8406006104791546,782.5721891021819,547.9141230475736,0.007491105391181609
std,0.060553800557129965,0.03917702089467345,,0.17003783082122373,894.0728088018836,271.6756588725355,0.04692426877697024
min,0.4118316268486917,0.0,,0.04770897701382637,21.2,41.0,0.0
25%,0.7853658536585366,0.05896805896805897,,0.7853607535362244,254.9,354.0,0.0
50%,0.8065360864266838,0.08163265306122448,,0.9137453734874725,429.8,482.0,0.0
75%,0.819672131147541,0.1049097112424066,,0.9548931568861008,967.2,710.0,0.0
max,0.8759124087591241,0.2619047619047619,,0.9993396997451782,17456.2,2263.0,0.8571428571428571
unique,,,5.0,,,,
top,,,en,,,,
freq,,,33403.0,,,,
