,alnum_ratio,char_rep_ratio,lang,lang_score,perplexity,text_len,word_rep_ratio
count,26903.0,26903.0,26903.0,26903.0,26903.0,26903.0,26903.0
mean,0.7996148367315995,0.0845532232031069,,0.9653567990990672,252.8208638441809,1164.8035906776197,0.006269338338301344
std,0.01559854896732678,0.024500177433333777,,0.01999230881509422,593.9012311428158,388.6256441816885,0.02761800837126862
min,0.6427076064200977,0.0,,0.3273862600326538,16.0,23.0,0.0
25%,0.7899187161775705,0.07091127622377622,,0.9570931494235992,148.9,912.0,0.0
50%,0.8004604758250192,0.08348134991119005,,0.9686223268508911,204.5,1176.0,0.0
75%,0.8102345415778252,0.09801324503311258,,0.9778428077697754,279.1,1412.0,0.0
max,0.9056179775280899,0.35968379446640314,,0.9992448687553406,71197.6,3735.0,0.8222222222222222
unique,,,3.0,,,,
top,,,en,,,,
freq,,,26901.0,,,,
