,alnum_ratio,char_rep_ratio,lang,lang_score,perplexity,text_len,word_rep_ratio
count,17522.0,17522.0,17522.0,17522.0,17522.0,17522.0,17522.0
mean,0.8893020145014027,0.024329161705227483,,0.9883978066022178,1527.2879408743295,227.56243579500057,0.0005005912452781652
std,0.03483679666930886,0.04195376549995329,,0.036494139389013275,1687.1388329890601,133.32491611459022,0.01804970500555001
min,0.4044943820224719,0.0,,0.27427342534065247,34.4,9.0,0.0
25%,0.8766670689759218,0.0,,0.9909654557704926,876.625,134.0,0.0
50%,0.897503462603878,0.0,,0.9959536492824554,1312.95,195.0,0.0
75%,0.9117647058823529,0.03333333333333333,,0.9983354657888412,1884.925,307.0,0.0
max,0.950530035335689,0.43209876543209874,,1.0000581741333008,171284.7,2070.0,0.7307692307692307
unique,,,4.0,,,,
top,,,zh,,,,
freq,,,17140.0,,,,
