,alnum_ratio,char_rep_ratio,lang,lang_score,perplexity,text_len,word_rep_ratio
count,22232.0,22232.0,22232.0,22232.0,22232.0,22232.0,22232.0
mean,0.8763090083868831,0.009699629003375483,,0.9768072780752545,2036.7502293990642,195.10322957898524,3.5341592556418036e-05
std,0.045200987725008586,0.036323667450674516,,0.04710219786696315,1748.0909669434848,147.28102380305515,0.005269572482798897
min,0.04914004914004914,0.0,,0.08973658084869385,1.8,7.0,0.0
25%,0.8636363636363636,0.0,,0.9762636572122574,1142.3500000000001,104.0,0.0
50%,0.8856088560885609,0.0,,0.9898232221603394,1645.65,180.0,0.0
75%,0.9020408163265307,0.0,,0.9956742376089096,2399.1,247.0,0.0
max,0.978494623655914,0.9396984924623115,,1.0000566244125366,56573.2,3437.0,0.7857142857142857
unique,,,6.0,,,,
top,,,zh,,,,
freq,,,22177.0,,,,
