,alnum_ratio,char_rep_ratio,lang,lang_score,perplexity,text_len,word_rep_ratio
count,58546.0,58546.0,58546.0,58546.0,58546.0,58546.0,58546.0
mean,0.7688380888844567,0.048327719861793815,,0.9464337105843357,743.810943531582,863.3525603798722,0.0012948558678193022
std,0.0238955661227287,0.03260209217554312,,0.03276909299816255,449.817549938434,827.9379554481056,0.014794996086450388
min,0.24860853432282004,0.0,,0.28078871965408325,6.5,34.0,0.0
25%,0.7561673271771371,0.02158273381294964,,0.9333799183368683,524.1,397.0,0.0
50%,0.7700650759219089,0.04992357841446428,,0.9531865417957306,672.9,616.0,0.0
75%,0.7830508474576271,0.07046012947396027,,0.9677324742078781,875.575,1014.75,0.0
max,0.9346314325452016,0.7056603773584905,,0.9988492727279663,43170.3,36956.0,0.87409200968523
unique,,,2.0,,,,
top,,,en,,,,
freq,,,58544.0,,,,
