,alnum_ratio,char_rep_ratio,lang,lang_score,perplexity,text_len,word_rep_ratio
count,51974.0,51974.0,51974.0,51974.0,51974.0,51974.0,51974.0
mean,0.7965712106995689,0.07555094903194434,,0.8970363780725109,696.2813522145689,355.1482279601339,0.006085473722428386
std,0.04566078804371731,0.05599823388175842,,0.11911888112415032,1877.1816307965078,278.4403881925927,0.04256416357364073
min,0.18666666666666668,0.0,,0.03426986560225487,7.6,16.0,0.0
25%,0.7857142857142857,0.020202020202020204,,0.8825663924217224,186.9,141.0,0.0
50%,0.8060836501901141,0.08196721311475409,,0.9368960559368134,317.7,277.0,0.0
75%,0.821917808219178,0.11428571428571428,,0.9641175270080566,647.475,504.0,0.0
max,0.935251798561151,0.7582697201017812,,0.9998534917831421,227322.5,4293.0,0.9230769230769231
unique,,,19.0,,,,
top,,,en,,,,
freq,,,51867.0,,,,
