,alnum_ratio,char_rep_ratio,lang,lang_score,perplexity,text_len,word_rep_ratio
count,52002.0,52002.0,52002.0,52002.0,52002.0,52002.0,52002.0
mean,0.7965592652432061,0.07551062380083964,,0.8969641516540966,697.5382696819355,355.00590361909155,0.006082197054911215
std,0.04566645771536144,0.056010163500263624,,0.11919800409115434,1882.0615791641362,278.4328700452308,0.04255293684478504
min,0.18666666666666668,0.0,,0.03426986560225487,7.6,16.0,0.0
25%,0.7857142857142857,0.020085366591996126,,0.8824996203184128,186.9,141.0,0.0
50%,0.8060764569836483,0.08193668528864059,,0.9368750154972076,317.7,276.0,0.0
75%,0.821917808219178,0.11428571428571428,,0.9641157239675522,648.275,504.0,0.0
max,0.935251798561151,0.7582697201017812,,0.9998534917831421,227322.5,4293.0,0.9230769230769231
unique,,,19.0,,,,
top,,,en,,,,
freq,,,51895.0,,,,
