,alnum_ratio,char_rep_ratio,lang,lang_score,perplexity,text_len,word_rep_ratio
count,52002.0,52002.0,52002.0,52002.0,52002.0,52002.0,52002.0
mean,0.7939575988500032,0.0800056334027865,,0.9116363033767212,580.942023383716,762.0625360563055,0.006163391988152242
std,0.043691667958597656,0.04866617720057325,,0.09860208646281195,1144.008293401563,642.2540086472666,0.03998274009194924
min,0.12413554633471646,0.0,,0.04003268480300903,5.1,28.0,0.0
25%,0.7837232373569583,0.05454545454545454,,0.9030486196279526,190.3,199.0,0.0
50%,0.8038190300981172,0.08,,0.9421638250350952,308.2,568.0,0.0
75%,0.8186368577421065,0.10815602836879433,,0.9639485776424408,571.6750000000001,1212.0,0.0
max,0.9183673469387755,0.7149938042131351,,0.999906599521637,93226.1,4726.0,0.8793103448275862
unique,,,10.0,,,,
top,,,en,,,,
freq,,,51924.0,,,,
