,alnum_ratio,char_rep_ratio,lang,lang_score,perplexity,text_len,word_rep_ratio
count,48818.0,48818.0,48818.0,48818.0,48818.0,48818.0,48818.0
mean,0.8290278657331128,0.01913143387385694,,0.9652862234775271,1781.7085030111843,251.21664140276127,0.0005994071570509176
std,0.0828049650311413,0.04231746334582946,,0.09951801540964242,1958.3375050703312,183.06766244012303,0.016970507979257497
min,0.09233791748526522,0.0,,0.10066649317741394,11.6,8.0,0.0
25%,0.8,0.0,,0.9850926846265793,987.0,95.0,0.0
50%,0.853448275862069,0.0,,0.9943062961101532,1370.4,222.0,0.0
75%,0.8846153846153846,0.01556420233463035,,0.9974506944417953,1942.5,383.0,0.0
max,0.9493670886075949,0.755285073670724,,1.0000598430633545,88156.3,2753.0,0.9629629629629629
unique,,,21.0,,,,
top,,,zh,,,,
freq,,,47155.0,,,,
