,alnum_ratio,char_rep_ratio,lang,lang_score,perplexity,text_len,word_rep_ratio
count,15015.0,15015.0,15015.0,15015.0,15015.0,15015.0,15015.0
mean,0.7989652310259093,0.07173275801618165,,0.9245015311466429,713.7653879453879,793.2805194805195,0.030299396330137653
std,0.02345175711769664,0.0470683917832315,,0.08912210144000911,1314.3616031495656,1150.0725856258243,0.1314987735071556
min,0.4791666666666667,0.0,,0.11235364526510239,6.7,10.0,0.0
25%,0.7881773399014779,0.04191536827615669,,0.9167391657829285,229.3,201.0,0.0
50%,0.8018327605956472,0.07198748043818466,,0.9547436833381653,381.3,460.0,0.0
75%,0.8136982231059319,0.09926470588235294,,0.9732678830623627,711.2,960.0,0.0
max,0.8805970149253731,0.40559440559440557,,0.9991735219955444,43076.3,27392.0,0.989010989010989
unique,,,6.0,,,,
top,,,en,,,,
freq,,,15002.0,,,,
