,alnum_ratio,char_rep_ratio,lang,lang_score,perplexity,text_len,word_rep_ratio
count,68912.0,68912.0,68912.0,68912.0,68912.0,68912.0,68912.0
mean,0.7945931136571376,0.0692009819642536,,0.9147115818471139,661.8648537264917,539.4489058509404,0.004795404513816021
std,0.040563656985796656,0.051767033584237586,,0.10762786589027712,1639.1571878959046,607.6372384174581,0.0376288490924675
min,0.18666666666666668,0.0,,0.03426986560225487,7.6,16.0,0.0
25%,0.7829457364341085,0.023844090950765562,,0.9066043496131897,216.7,168.0,0.0
50%,0.8,0.06912717026523786,,0.9508047699928284,373.6,381.0,0.0
75%,0.8172282620620049,0.10379746835443038,,0.9720348715782166,641.6,655.0,0.0
max,0.9310344827586207,0.4904632152588556,,0.9998534917831421,227322.5,17083.0,0.9230769230769231
unique,,,18.0,,,,
top,,,en,,,,
freq,,,68806.0,,,,
