,alnum_ratio,char_rep_ratio,lang,lang_score,perplexity,text_len,word_rep_ratio
count,51504.0,51504.0,51504.0,51504.0,51504.0,51504.0,51504.0
mean,0.8852854747675493,0.03816694007201095,,0.9736857560782081,1393.1432781919852,211.79024930102517,0.00045584116760603085
std,0.0616392601599676,0.05160482767940962,,0.10354270657381655,995.40470763859,125.33500169547547,0.01418209494489617
min,0.10861423220973783,0.0,,0.06395557522773743,13.9,18.0,0.0
25%,0.8803827751196173,0.0,,0.9911079406738281,919.1,157.0,0.0
50%,0.9027777777777778,0.00881057268722467,,0.9957260191440582,1227.2,192.0,0.0
75%,0.9161676646706587,0.0693315647426854,,0.9978597015142441,1643.4250000000002,236.0,0.0
max,0.9637305699481865,0.6815761448349308,,1.0000536441802979,45319.6,4733.0,0.8363636363636363
unique,,,16.0,,,,
top,,,zh,,,,
freq,,,50827.0,,,,
