,alnum_ratio,char_rep_ratio,lang,lang_score,perplexity,text_len,word_rep_ratio
count,52191.0,52191.0,52191.0,52191.0,52191.0,52191.0,52191.0
mean,0.8170354724329107,0.09263792261629025,,0.9300039153221967,349.3630932536262,750.7291295434079,0.010437683339290717
std,0.028598357927957015,0.029059434916538947,,0.05973677407764416,625.6521057244181,357.8932477310736,0.045266050316020594
min,0.30303030303030304,0.0,,0.1835775524377823,7.7,41.0,0.0
25%,0.8087999301613222,0.07741935483870968,,0.9190163910388947,159.8,535.0,0.0
50%,0.822875816993464,0.09090909090909091,,0.9432417154312134,227.5,679.0,0.0
75%,0.8328488372093024,0.10775862068965517,,0.9602245390415192,352.7,881.5,0.0
max,0.9234338747099768,0.48148148148148145,,0.9999287128448486,41255.5,3881.0,0.9686411149825784
unique,,,8.0,,,,
top,,,en,,,,
freq,,,52142.0,,,,
