,alnum_ratio,char_rep_ratio,lang,lang_score,perplexity,text_len,word_rep_ratio
count,332648.0,332648.0,332648.0,332648.0,332648.0,332648.0,332648.0
mean,0.7746997974343889,0.08812555994331214,,0.8670017478018938,1131.8500033067985,1632.3469072412881,0.02115941317421716
std,0.0609676654349734,0.045676058607302,,0.14783845936296586,4892.259512593716,1984.170447976098,0.07036126376567645
min,0.0,0.0,,0.06015074625611305,1.1,4.0,0.0
25%,0.7571428571428571,0.06722689075630252,,0.837533712387085,271.2,777.0,0.0
50%,0.7932551319648093,0.08597986057319908,,0.9274595975875854,497.9,1390.0,0.0
75%,0.8127734033245845,0.10710710710710711,,0.9587483406066895,1205.3,2070.0,0.0
max,0.9979619565217391,0.9965208200295069,,1.0000699758529663,522491.5,394567.0,0.9982394366197183
unique,,,63.0,,,,
top,,,en,,,,
freq,,,328774.0,,,,
