,alnum_ratio,char_rep_ratio,lang,lang_score,perplexity,text_len,word_rep_ratio
count,158210.0,158210.0,158210.0,158210.0,158210.0,158210.0,158210.0
mean,0.8404501900123579,0.03600103153275749,,0.9503724562391666,2008.9146558371783,385.08272549143544,0.002862804287778807
std,0.08948102629571963,0.053433262998749446,,0.1299451681845796,1838.4218576899452,297.0008020565878,0.03476589804478259
min,0.0,0.0,,0.0429496094584465,9.3,4.0,0.0
25%,0.807046396023198,0.0,,0.9813812226057053,1264.8,184.0,0.0
50%,0.8711656441717791,0.00425531914893617,,0.9941690564155579,1697.4,333.0,0.0
75%,0.9012345679012346,0.06709783826397245,,0.9974680989980698,2302.2,496.0,0.0
max,0.9870466321243523,0.8425275827482447,,1.0000699758529663,189441.1,4972.0,0.975
unique,,,59.0,,,,
top,,,zh,,,,
freq,,,154988.0,,,,
